semafor_id,status,raskrsnica_id,naziv_raskrsnice,tip_raskrsnice
124,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
124,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
125,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
126,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,124,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,125,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,126,Raskrsnica sa semaforom,kontrolisana raskrsnica
127,aktivan,127,Raskrsnica sa semaforom,kontrolisana raskrsnica
128,aktivan,128,Raskrsnica sa semaforom,kontrolisana raskrsnica
128,aktivan,130,Raskrsnica sa semaforom,kontrolisana raskrsnica
129,aktivan,129,Raskrsnica sa semaforom,kontrolisana raskrsnica
130,aktivan,128,Raskrsnica sa semaforom,kontrolisana raskrsnica
130,aktivan,130,Raskrsnica sa semaforom,kontrolisana raskrsnica
131,aktivan,131,Raskrsnica sa semaforom,kontrolisana raskrsnica
131,aktivan,132,Raskrsnica sa semaforom,kontrolisana raskrsnica
132,aktivan,131,Raskrsnica sa semaforom,kontrolisana raskrsnica
132,aktivan,132,Raskrsnica sa semaforom,kontrolisana raskrsnica
132,aktivan,134,Raskrsnica sa semaforom,kontrolisana raskrsnica
133,aktivan,133,Raskrsnica sa semaforom,kontrolisana raskrsnica
133,aktivan,134,Raskrsnica sa semaforom,kontrolisana raskrsnica
134,aktivan,132,Raskrsnica sa semaforom,kontrolisana raskrsnica
134,aktivan,133,Raskrsnica sa semaforom,kontrolisana raskrsnica
134,aktivan,134,Raskrsnica sa semaforom,kontrolisana raskrsnica
135,aktivan,135,Raskrsnica sa semaforom,kontrolisana raskrsnica
136,aktivan,136,Raskrsnica sa semaforom,kontrolisana raskrsnica
136,aktivan,166,Raskrsnica sa semaforom,kontrolisana raskrsnica
136,aktivan,169,Raskrsnica sa semaforom,kontrolisana raskrsnica
137,aktivan,137,Raskrsnica sa semaforom,kontrolisana raskrsnica
137,aktivan,138,Raskrsnica sa semaforom,kontrolisana raskrsnica
138,aktivan,137,Raskrsnica sa semaforom,kontrolisana raskrsnica
138,aktivan,138,Raskrsnica sa semaforom,kontrolisana raskrsnica
139,aktivan,139,Raskrsnica sa semaforom,kontrolisana raskrsnica
140,aktivan,140,Raskrsnica sa semaforom,kontrolisana raskrsnica
141,aktivan,141,Raskrsnica sa semaforom,kontrolisana raskrsnica
142,aktivan,142,Raskrsnica sa semaforom,kontrolisana raskrsnica
143,aktivan,143,Raskrsnica sa semaforom,kontrolisana raskrsnica
144,aktivan,144,Raskrsnica sa semaforom,kontrolisana raskrsnica
144,aktivan,145,Raskrsnica sa semaforom,kontrolisana raskrsnica
144,aktivan,147,Raskrsnica sa semaforom,kontrolisana raskrsnica
145,aktivan,144,Raskrsnica sa semaforom,kontrolisana raskrsnica
145,aktivan,145,Raskrsnica sa semaforom,kontrolisana raskrsnica
145,aktivan,147,Raskrsnica sa semaforom,kontrolisana raskrsnica
146,aktivan,146,Raskrsnica sa semaforom,kontrolisana raskrsnica
146,aktivan,147,Raskrsnica sa semaforom,kontrolisana raskrsnica
147,aktivan,144,Raskrsnica sa semaforom,kontrolisana raskrsnica
147,aktivan,145,Raskrsnica sa semaforom,kontrolisana raskrsnica
147,aktivan,146,Raskrsnica sa semaforom,kontrolisana raskrsnica
147,aktivan,147,Raskrsnica sa semaforom,kontrolisana raskrsnica
148,aktivan,148,Raskrsnica sa semaforom,kontrolisana raskrsnica
149,aktivan,149,Raskrsnica sa semaforom,kontrolisana raskrsnica
149,aktivan,151,Raskrsnica sa semaforom,kontrolisana raskrsnica
150,aktivan,150,Raskrsnica sa semaforom,kontrolisana raskrsnica
150,aktivan,151,Raskrsnica sa semaforom,kontrolisana raskrsnica
151,aktivan,149,Raskrsnica sa semaforom,kontrolisana raskrsnica
151,aktivan,150,Raskrsnica sa semaforom,kontrolisana raskrsnica
151,aktivan,151,Raskrsnica sa semaforom,kontrolisana raskrsnica
152,aktivan,152,Raskrsnica sa semaforom,kontrolisana raskrsnica
152,aktivan,153,Raskrsnica sa semaforom,kontrolisana raskrsnica
152,aktivan,154,Raskrsnica sa semaforom,kontrolisana raskrsnica
153,aktivan,152,Raskrsnica sa semaforom,kontrolisana raskrsnica
153,aktivan,153,Raskrsnica sa semaforom,kontrolisana raskrsnica
153,aktivan,154,Raskrsnica sa semaforom,kontrolisana raskrsnica
153,aktivan,155,Raskrsnica sa semaforom,kontrolisana raskrsnica
154,aktivan,152,Raskrsnica sa semaforom,kontrolisana raskrsnica
154,aktivan,153,Raskrsnica sa semaforom,kontrolisana raskrsnica
154,aktivan,154,Raskrsnica sa semaforom,kontrolisana raskrsnica
154,aktivan,155,Raskrsnica sa semaforom,kontrolisana raskrsnica
155,aktivan,153,Raskrsnica sa semaforom,kontrolisana raskrsnica
155,aktivan,154,Raskrsnica sa semaforom,kontrolisana raskrsnica
155,aktivan,155,Raskrsnica sa semaforom,kontrolisana raskrsnica
156,aktivan,156,Raskrsnica sa semaforom,kontrolisana raskrsnica
156,aktivan,158,Raskrsnica sa semaforom,kontrolisana raskrsnica
157,aktivan,157,Raskrsnica sa semaforom,kontrolisana raskrsnica
157,aktivan,158,Raskrsnica sa semaforom,kontrolisana raskrsnica
158,aktivan,156,Raskrsnica sa semaforom,kontrolisana raskrsnica
158,aktivan,157,Raskrsnica sa semaforom,kontrolisana raskrsnica
158,aktivan,158,Raskrsnica sa semaforom,kontrolisana raskrsnica
159,aktivan,159,Raskrsnica sa semaforom,kontrolisana raskrsnica
159,aktivan,160,Raskrsnica sa semaforom,kontrolisana raskrsnica
160,aktivan,159,Raskrsnica sa semaforom,kontrolisana raskrsnica
160,aktivan,160,Raskrsnica sa semaforom,kontrolisana raskrsnica
160,aktivan,188,Raskrsnica sa semaforom,kontrolisana raskrsnica
161,aktivan,161,Raskrsnica sa semaforom,kontrolisana raskrsnica
162,aktivan,162,Raskrsnica sa semaforom,kontrolisana raskrsnica
163,aktivan,163,Raskrsnica sa semaforom,kontrolisana raskrsnica
164,aktivan,164,Raskrsnica sa semaforom,kontrolisana raskrsnica
165,aktivan,165,Raskrsnica sa semaforom,kontrolisana raskrsnica
166,aktivan,136,Raskrsnica sa semaforom,kontrolisana raskrsnica
166,aktivan,166,Raskrsnica sa semaforom,kontrolisana raskrsnica
167,aktivan,167,Raskrsnica sa semaforom,kontrolisana raskrsnica
168,aktivan,168,Raskrsnica sa semaforom,kontrolisana raskrsnica
169,aktivan,136,Raskrsnica sa semaforom,kontrolisana raskrsnica
169,aktivan,169,Raskrsnica sa semaforom,kontrolisana raskrsnica
170,aktivan,170,Raskrsnica sa semaforom,kontrolisana raskrsnica
170,aktivan,425,Raskrsnica Laze Telečkog / Futoška,nekontrolisana raskrsnica
171,aktivan,171,Raskrsnica sa semaforom,kontrolisana raskrsnica
172,aktivan,172,Raskrsnica sa semaforom,kontrolisana raskrsnica
173,aktivan,173,Raskrsnica sa semaforom,kontrolisana raskrsnica
174,aktivan,174,Raskrsnica sa semaforom,kontrolisana raskrsnica
175,aktivan,175,Raskrsnica sa semaforom,kontrolisana raskrsnica
176,aktivan,176,Raskrsnica sa semaforom,kontrolisana raskrsnica
176,aktivan,177,Raskrsnica sa semaforom,kontrolisana raskrsnica
177,aktivan,176,Raskrsnica sa semaforom,kontrolisana raskrsnica
177,aktivan,177,Raskrsnica sa semaforom,kontrolisana raskrsnica
178,aktivan,178,Raskrsnica sa semaforom,kontrolisana raskrsnica
178,aktivan,179,Raskrsnica sa semaforom,kontrolisana raskrsnica
179,aktivan,178,Raskrsnica sa semaforom,kontrolisana raskrsnica
179,aktivan,179,Raskrsnica sa semaforom,kontrolisana raskrsnica
180,aktivan,180,Raskrsnica sa semaforom,kontrolisana raskrsnica
180,aktivan,181,Raskrsnica sa semaforom,kontrolisana raskrsnica
181,aktivan,180,Raskrsnica sa semaforom,kontrolisana raskrsnica
181,aktivan,181,Raskrsnica sa semaforom,kontrolisana raskrsnica
182,aktivan,182,Raskrsnica sa semaforom,kontrolisana raskrsnica
183,aktivan,183,Raskrsnica sa semaforom,kontrolisana raskrsnica
183,aktivan,184,Raskrsnica sa semaforom,kontrolisana raskrsnica
184,aktivan,183,Raskrsnica sa semaforom,kontrolisana raskrsnica
184,aktivan,184,Raskrsnica sa semaforom,kontrolisana raskrsnica
185,aktivan,185,Raskrsnica sa semaforom,kontrolisana raskrsnica
186,aktivan,186,Raskrsnica sa semaforom,kontrolisana raskrsnica
187,aktivan,187,Raskrsnica sa semaforom,kontrolisana raskrsnica
188,aktivan,160,Raskrsnica sa semaforom,kontrolisana raskrsnica
188,aktivan,188,Raskrsnica sa semaforom,kontrolisana raskrsnica
189,aktivan,189,Raskrsnica sa semaforom,kontrolisana raskrsnica
190,aktivan,190,Raskrsnica sa semaforom,kontrolisana raskrsnica
191,aktivan,191,Raskrsnica sa semaforom,kontrolisana raskrsnica
192,aktivan,192,Raskrsnica sa semaforom,kontrolisana raskrsnica
193,aktivan,193,Raskrsnica sa semaforom,kontrolisana raskrsnica
193,aktivan,195,Raskrsnica sa semaforom,kontrolisana raskrsnica
194,aktivan,194,Raskrsnica sa semaforom,kontrolisana raskrsnica
195,aktivan,193,Raskrsnica sa semaforom,kontrolisana raskrsnica
195,aktivan,195,Raskrsnica sa semaforom,kontrolisana raskrsnica
196,aktivan,196,Raskrsnica sa semaforom,kontrolisana raskrsnica
197,aktivan,197,Raskrsnica sa semaforom,kontrolisana raskrsnica
198,aktivan,198,Raskrsnica sa semaforom,kontrolisana raskrsnica
199,aktivan,199,Raskrsnica sa semaforom,kontrolisana raskrsnica
200,aktivan,200,Raskrsnica sa semaforom,kontrolisana raskrsnica
201,aktivan,201,Raskrsnica sa semaforom,kontrolisana raskrsnica
202,aktivan,202,Raskrsnica sa semaforom,kontrolisana raskrsnica
203,aktivan,203,Raskrsnica sa semaforom,kontrolisana raskrsnica
204,aktivan,204,Raskrsnica sa semaforom,kontrolisana raskrsnica
204,aktivan,231,Raskrsnica sa semaforom,kontrolisana raskrsnica
205,aktivan,205,Raskrsnica sa semaforom,kontrolisana raskrsnica
206,aktivan,206,Raskrsnica sa semaforom,kontrolisana raskrsnica
206,aktivan,208,Raskrsnica sa semaforom,kontrolisana raskrsnica
207,aktivan,207,Raskrsnica sa semaforom,kontrolisana raskrsnica
208,aktivan,206,Raskrsnica sa semaforom,kontrolisana raskrsnica
208,aktivan,208,Raskrsnica sa semaforom,kontrolisana raskrsnica
209,aktivan,209,Raskrsnica sa semaforom,kontrolisana raskrsnica
210,aktivan,210,Raskrsnica sa semaforom,kontrolisana raskrsnica
211,aktivan,211,Raskrsnica sa semaforom,kontrolisana raskrsnica
211,aktivan,228,Raskrsnica sa semaforom,kontrolisana raskrsnica
211,aktivan,229,Raskrsnica sa semaforom,kontrolisana raskrsnica
212,aktivan,212,Raskrsnica sa semaforom,kontrolisana raskrsnica
213,aktivan,213,Raskrsnica sa semaforom,kontrolisana raskrsnica
