id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
1894,Nepoznata ulica,secondary,60,0.12287523338054863
1895,Nepoznata ulica,secondary,60,0.020374659498855294
1896,Nepoznata ulica,secondary,60,0.05237103409155975
1897,Nepoznata ulica,secondary,60,0.04477365055474697
1898,Nepoznata ulica,secondary,60,0.12212655291677879
1901,Nepoznata ulica,secondary,60,0.024972493683314004
1902,Nepoznata ulica,secondary,60,0.08770770215886038
1903,Nepoznata ulica,secondary,0,0.08222556096286558
1905,Nepoznata ulica,secondary,0,0.10936995482175381
1906,Цементашка,tertiary,0,0.05460982994077196
1907,Nepoznata ulica,secondary,0,0.2149761778372311
1908,Цементашка,tertiary,0,0.028821731993977678
1909,Nepoznata ulica,secondary,0,0.06485043475245118
1910,Nepoznata ulica,secondary,0,0.046990058389790104
1911,Nepoznata ulica,secondary,0,0.013230034722590489
1912,Nepoznata ulica,secondary,0,0.02859050251573703
1913,Nepoznata ulica,secondary,0,0.06361397521064611
1914,Nepoznata ulica,secondary,0,0.032037859873770086
1915,Nepoznata ulica,secondary,0,0.041740104885434184
1916,Цементашка,tertiary,0,0.03041468597948243
1917,Цементашка,tertiary,0,0.037497249534623994
1918,Цементашка,tertiary,0,0.12109093186227775
1919,Цементашка,tertiary,0,0.023672081337993273
1920,Цементашка,tertiary,0,0.2555652992017163
1924,Светосавска,secondary,0,0.056537786992529385
1925,Светосавска,tertiary,0,0.10145635436429955
1926,Светосавска,tertiary,0,0.13364799027566482
1927,Новосадска,secondary,0,0.08576234818000396
1928,Новосадска,secondary,0,0.0678294657880942
1929,Новосадска,secondary,0,0.03464669242480827
1930,Nepoznata ulica,secondary,0,0.11105374295734362
1982,Насеље Дунав,tertiary,0,0.6511381913240568
2040,Карађорђева,secondary,0,0.114893574051586
2041,Лединачки пут,secondary,0,0.02642637988419685
2042,Лединачки пут,secondary,0,0.014698197607501297
2043,Лединачки пут,secondary,0,0.039854734031231326
2044,Лединачки пут,secondary,0,0.043420395133931707
2045,Лединачки пут,secondary,0,0.05461626598166997
2046,Лединачки пут,secondary,0,0.03671055904909791
2047,Карађорђева,secondary,0,0.09207523055750656
2050,Nepoznata ulica,secondary,50,0.077686884446809
2053,Nepoznata ulica,secondary,50,0.043671285450352613
2054,Карађорђева,secondary,0,0.044596091657207765
2055,Карађорђева,secondary,0,0.05170366067197823
2056,Карађорђева,secondary,0,0.12326553076759049
2058,Карађорђева,secondary,0,0.057801477903383795
2079,Хероја Пинкија,tertiary,30,0.11401234468723755
2084,Лединачки пут,secondary,0,0.03759783450828862
2085,Лединачки пут,secondary,0,0.2112642117018321
2090,Подунавска,tertiary,0,1.7173518381978998
2111,Рудничка,tertiary,30,0.018650371991520188
2112,Рудничка,tertiary,30,0.024822628155483674
2114,Рудничка,tertiary,30,0.18957362218514687
2132,Хероја Пинкија,tertiary,0,0.6009778721409214
2149,Фејеш Кларе,tertiary,0,0.38024309495031466
2155,Фрушкогорски пут,tertiary,0,0.0644014910970359
2161,Nepoznata ulica,secondary,60,0.3302163512555437
2179,Карађорђева,secondary,0,0.08499682488207749
2180,Карађорђева,secondary,30,0.07687296309369104
2185,Карађорђева,secondary,0,0.1802752427074546
2188,Карађорђева,secondary,0,0.04714339137130223
2190,Карађорђева,secondary,0,0.02820858470062198
2192,Карађорђева,secondary,0,0.1810906794943674
2195,Трг краља Петра I,secondary,30,0.04359999980325775
2196,Карађорђева,secondary,30,0.009052881034869124
2200,Трг краља Петра I,secondary,0,0.04190076943136023
2201,Трг краља Петра I,secondary,0,0.04380652636705858
2202,Трг краља Петра I,secondary,0,0.02112902422864885
2329,Хероја Пинкија,tertiary,40,0.1575742923445319
2332,Фејеш Кларе,tertiary,0,0.1903778568308236
2356,Бранка Ћопића,tertiary,30,0.15399772778583296
2370,Фејеш Кларе,tertiary,0,0.09046133625485858
2374,Фејеш Кларе,tertiary,30,0.10071674675783246
2377,Хероја Пинкија,tertiary,40,0.2802552356174071
2380,Хероја Пинкија,tertiary,0,0.02946550934311473
2381,Хероја Пинкија,tertiary,0,0.06881677802744758
2397,Бранка Ћопића,tertiary,0,0.347758105774372
2416,Народног фронта,tertiary,0,0.020268277921705588
2417,Иво Андрић,tertiary,0,0.010296549198364596
2420,Народног фронта,tertiary,0,0.03908169373469422
2424,Хероја Пинкија,tertiary,0,0.2554538955541247
2430,Иво Андрић,tertiary,0,0.08712676406367838
2435,Народног фронта,tertiary,0,0.40677467381728555
2443,Иво Андрић,tertiary,0,0.02358166547129789
2444,Народног фронта,tertiary,0,0.4533928238263217
2457,Иво Андрић,tertiary,0,0.088713965732698
2458,Иво Андрић,tertiary,0,0.099290108757884
2460,Хероја Пинкија,tertiary,0,0.1096408370853546
2498,Ћирила и Методија,tertiary,0,0.33811959638528044
2500,Ћирила и Методија,tertiary,30,0.02713837806193557
2501,Ћирила и Методија,tertiary,30,0.026321518855484737
2502,Ћирила и Методија,tertiary,0,0.06845436185916602
2505,Бранка Ћопића,tertiary,40,0.04597754922831148
2507,Бранка Ћопића,tertiary,0,0.028360880510470574
2508,Ћирила и Методија,tertiary,30,0.06665773502403081
2509,Ћирила и Методија,tertiary,30,0.17131046213859447
2512,Ћирила и Методија,tertiary,30,0.037754208328535814
2516,Ћирила и Методија,tertiary,0,0.4579780891508439
2518,Фејеш Кларе,tertiary,30,0.09479587285543171
2532,Nepoznata ulica,secondary,0,0.0035806753803708964
2534,Nepoznata ulica,secondary,0,0.031840766787620496
2537,Фејеш Кларе,tertiary,0,0.13638648406262052
2558,Nepoznata ulica,motorway,130,1.3814675355524981
2570,Митрополита Стратимировића,tertiary,0,0.11079933275789632
2597,Митрополита Стратимировића,tertiary,0,0.23612626364348116
2613,Митрополита Стратимировића,tertiary,0,0.113434006566677
2617,Митрополита Стратимировића,tertiary,0,0.04178263103063016
2625,Карађорђева,tertiary,50,0.13379294576339737
2627,Карађорђева,tertiary,0,0.2881218700503357
2632,Карађорђева,tertiary,50,0.1667203760567718
2633,Карађорђева,tertiary,50,0.03198596902455336
2634,Карађорђева,tertiary,0,0.004945681145968765
2635,Nepoznata ulica,tertiary,0,0.009855337059763335
2636,Карађорђева,tertiary,0,0.005502371868806291
2658,Карађорђева,tertiary,30,0.032397417583579495
2668,Карађорђева,tertiary,0,0.655708037467418
2670,Буковачки пут,tertiary,0,0.16536909683686057
2673,Буковачки пут,tertiary,0,0.32076694313755433
2675,Буковачки пут,tertiary,0,0.04250510276896298
2690,Трг Бранка Радичевића,tertiary,0,0.020754755212322076
