znak_id,tip_znaka,stanje,semafor_id,status
915,pedestrian_crossing,dobro,71,aktivan
915,pedestrian_crossing,dobro,72,aktivan
919,pedestrian_crossing,dobro,85,aktivan
919,pedestrian_crossing,dobro,86,aktivan
931,pedestrian_crossing,dobro,75,aktivan
931,pedestrian_crossing,dobro,76,aktivan
931,pedestrian_crossing,dobro,83,aktivan
931,pedestrian_crossing,dobro,84,aktivan
932,pedestrian_crossing,dobro,75,aktivan
932,pedestrian_crossing,dobro,76,aktivan
932,pedestrian_crossing,dobro,83,aktivan
932,pedestrian_crossing,dobro,84,aktivan
934,pedestrian_crossing,dobro,75,aktivan
934,pedestrian_crossing,dobro,76,aktivan
934,pedestrian_crossing,dobro,83,aktivan
934,pedestrian_crossing,dobro,84,aktivan
935,pedestrian_crossing,dobro,75,aktivan
935,pedestrian_crossing,dobro,76,aktivan
935,pedestrian_crossing,dobro,83,aktivan
935,pedestrian_crossing,dobro,84,aktivan
939,pedestrian_crossing,dobro,75,aktivan
939,pedestrian_crossing,dobro,76,aktivan
939,pedestrian_crossing,dobro,83,aktivan
939,pedestrian_crossing,dobro,84,aktivan
941,pedestrian_crossing,dobro,66,aktivan
941,pedestrian_crossing,dobro,67,aktivan
941,pedestrian_crossing,dobro,69,aktivan
941,pedestrian_crossing,dobro,73,aktivan
952,pedestrian_crossing,dobro,75,aktivan
952,pedestrian_crossing,dobro,76,aktivan
952,pedestrian_crossing,dobro,83,aktivan
952,pedestrian_crossing,dobro,84,aktivan
955,pedestrian_crossing,dobro,75,aktivan
955,pedestrian_crossing,dobro,76,aktivan
955,pedestrian_crossing,dobro,83,aktivan
955,pedestrian_crossing,dobro,84,aktivan
956,pedestrian_crossing,dobro,75,aktivan
956,pedestrian_crossing,dobro,76,aktivan
956,pedestrian_crossing,dobro,83,aktivan
956,pedestrian_crossing,dobro,84,aktivan
959,pedestrian_crossing,dobro,75,aktivan
959,pedestrian_crossing,dobro,76,aktivan
959,pedestrian_crossing,dobro,83,aktivan
959,pedestrian_crossing,dobro,84,aktivan
960,pedestrian_crossing,dobro,75,aktivan
960,pedestrian_crossing,dobro,76,aktivan
960,pedestrian_crossing,dobro,83,aktivan
960,pedestrian_crossing,dobro,84,aktivan
961,pedestrian_crossing,dobro,75,aktivan
961,pedestrian_crossing,dobro,76,aktivan
961,pedestrian_crossing,dobro,83,aktivan
961,pedestrian_crossing,dobro,84,aktivan
964,pedestrian_crossing,dobro,77,aktivan
964,pedestrian_crossing,dobro,78,aktivan
964,pedestrian_crossing,dobro,79,aktivan
964,pedestrian_crossing,dobro,80,aktivan
965,pedestrian_crossing,dobro,77,aktivan
965,pedestrian_crossing,dobro,78,aktivan
965,pedestrian_crossing,dobro,79,aktivan
965,pedestrian_crossing,dobro,80,aktivan
968,pedestrian_crossing,dobro,77,aktivan
968,pedestrian_crossing,dobro,78,aktivan
968,pedestrian_crossing,dobro,79,aktivan
968,pedestrian_crossing,dobro,80,aktivan
969,pedestrian_crossing,dobro,77,aktivan
969,pedestrian_crossing,dobro,78,aktivan
