detekcija_id,klasa,confidence,naziv_slike,katastarski_znak_id,poklapa_se_sa_tipom,poklapa_se_sa_katastrom
142,car,0.00012521768803708255,znak1.jpg,3728,rucno_dodat_znak,True
143,bench,0.00012376895756460726,znak1.jpg,3728,rucno_dodat_znak,True
144,person,0.00012357697414699942,znak1.jpg,3728,rucno_dodat_znak,True
145,traffic light,0.00012291614257264882,znak1.jpg,3728,rucno_dodat_znak,True
146,potted plant,0.00012103901826776564,znak1.jpg,3728,rucno_dodat_znak,True
147,truck,0.00012053085083607584,znak1.jpg,3728,rucno_dodat_znak,True
148,bench,0.00011943139543291181,znak1.jpg,3728,rucno_dodat_znak,True
149,person,0.00011496746446937323,znak1.jpg,3728,rucno_dodat_znak,True
150,potted plant,0.00010939262574538589,znak1.jpg,3728,rucno_dodat_znak,True
151,bench,0.00010772815585369244,znak1.jpg,3728,rucno_dodat_znak,True
152,potted plant,0.00010667749302228913,znak1.jpg,3728,rucno_dodat_znak,True
153,car,0.00010637062223395333,znak1.jpg,3728,rucno_dodat_znak,True
154,traffic light,0.000105549770523794,znak1.jpg,3728,rucno_dodat_znak,True
155,potted plant,0.00010473116708453745,znak1.jpg,3728,rucno_dodat_znak,True
156,potted plant,0.00010348123760195449,znak1.jpg,3728,rucno_dodat_znak,True
157,car,0.00010138939251191914,znak1.jpg,3728,rucno_dodat_znak,True
158,bicycle,0.00010076000762637705,znak1.jpg,3728,rucno_dodat_znak,True
159,car,0.00010050120908999816,znak1.jpg,3728,rucno_dodat_znak,True
160,potted plant,9.856702672550455e-05,znak1.jpg,3728,rucno_dodat_znak,True
161,person,9.751155448611826e-05,znak1.jpg,3728,rucno_dodat_znak,True
162,bird,9.70818946370855e-05,znak1.jpg,3728,rucno_dodat_znak,True
163,person,9.449991921428591e-05,znak1.jpg,3728,rucno_dodat_znak,True
164,bench,9.385439625475556e-05,znak1.jpg,3728,rucno_dodat_znak,True
165,potted plant,9.380902338307351e-05,znak1.jpg,3728,rucno_dodat_znak,True
166,car,9.374750516144559e-05,znak1.jpg,3728,rucno_dodat_znak,True
167,bench,9.284681436838582e-05,znak1.jpg,3728,rucno_dodat_znak,True
168,truck,9.283831604989246e-05,znak1.jpg,3728,rucno_dodat_znak,True
169,traffic light,9.243241220247e-05,znak1.jpg,3728,rucno_dodat_znak,True
170,bench,9.176346065942198e-05,znak1.jpg,3728,rucno_dodat_znak,True
171,traffic light,9.152550046565011e-05,znak1.jpg,3728,rucno_dodat_znak,True
172,bench,8.958378020906821e-05,znak1.jpg,3728,rucno_dodat_znak,True
173,person,8.742609497858211e-05,znak1.jpg,3728,rucno_dodat_znak,True
174,person,8.569309284212068e-05,znak1.jpg,3728,rucno_dodat_znak,True
175,bench,8.536717359675094e-05,znak1.jpg,3728,rucno_dodat_znak,True
176,bird,8.411643648287281e-05,znak1.jpg,3728,rucno_dodat_znak,True
177,person,8.379731298191473e-05,znak1.jpg,3728,rucno_dodat_znak,True
178,bench,8.360582432942465e-05,znak1.jpg,3728,rucno_dodat_znak,True
179,clock,8.348640403710306e-05,znak1.jpg,3728,rucno_dodat_znak,True
180,potted plant,8.346189133590087e-05,znak1.jpg,3728,rucno_dodat_znak,True
181,boat,8.200091542676091e-05,znak1.jpg,3728,rucno_dodat_znak,True
182,boat,8.169317152351141e-05,znak1.jpg,3728,rucno_dodat_znak,True
183,bench,8.142663136823103e-05,znak1.jpg,3728,rucno_dodat_znak,True
184,potted plant,8.026744762901217e-05,znak1.jpg,3728,rucno_dodat_znak,True
185,clock,7.817191362846643e-05,znak1.jpg,3728,rucno_dodat_znak,True
186,truck,7.803643529769033e-05,znak1.jpg,3728,rucno_dodat_znak,True
187,potted plant,7.800116873113438e-05,znak1.jpg,3728,rucno_dodat_znak,True
188,car,7.780845771776512e-05,znak1.jpg,3728,rucno_dodat_znak,True
189,stop sign,7.711676153121516e-05,znak1.jpg,3728,rucno_dodat_znak,True
190,clock,7.663796714041382e-05,znak1.jpg,3728,rucno_dodat_znak,True
191,clock,7.486621325369924e-05,znak1.jpg,3728,rucno_dodat_znak,True
192,car,7.440181798301637e-05,znak1.jpg,3728,rucno_dodat_znak,True
193,traffic light,7.429958350257948e-05,znak1.jpg,3728,rucno_dodat_znak,True
194,bench,7.410965918097645e-05,znak1.jpg,3728,rucno_dodat_znak,True
195,car,7.37173468223773e-05,znak1.jpg,3728,rucno_dodat_znak,True
196,person,7.3398114182055e-05,znak1.jpg,3728,rucno_dodat_znak,True
197,bench,7.314420508919284e-05,znak1.jpg,3728,rucno_dodat_znak,True
198,traffic light,7.309957436518744e-05,znak1.jpg,3728,rucno_dodat_znak,True
199,traffic light,7.216317317215726e-05,znak1.jpg,3728,rucno_dodat_znak,True
200,boat,7.13012195774354e-05,znak1.jpg,3728,rucno_dodat_znak,True
201,bicycle,7.119943620637059e-05,znak1.jpg,3728,rucno_dodat_znak,True
202,car,7.091572479112074e-05,znak1.jpg,3728,rucno_dodat_znak,True
203,potted plant,7.080760406097397e-05,znak1.jpg,3728,rucno_dodat_znak,True
204,potted plant,6.884561298647895e-05,znak1.jpg,3728,rucno_dodat_znak,True
205,car,6.786933226976544e-05,znak1.jpg,3728,rucno_dodat_znak,True
206,car,6.739542004652321e-05,znak1.jpg,3728,rucno_dodat_znak,True
207,car,6.720321107422933e-05,znak1.jpg,3728,rucno_dodat_znak,True
208,potted plant,6.645713438047096e-05,znak1.jpg,3728,rucno_dodat_znak,True
209,potted plant,6.589021359104663e-05,znak1.jpg,3728,rucno_dodat_znak,True
210,traffic light,6.544828647747636e-05,znak1.jpg,3728,rucno_dodat_znak,True
211,potted plant,6.329218012979254e-05,znak1.jpg,3728,rucno_dodat_znak,True
212,traffic light,6.265526462811977e-05,znak1.jpg,3728,rucno_dodat_znak,True
213,traffic light,6.189695704961196e-05,znak1.jpg,3728,rucno_dodat_znak,True
214,car,6.106006912887096e-05,znak1.jpg,3728,rucno_dodat_znak,True
215,traffic light,6.104097701609135e-05,znak1.jpg,3728,rucno_dodat_znak,True
216,clock,6.1003789596725255e-05,znak1.jpg,3728,rucno_dodat_znak,True
217,potted plant,5.9872563724638894e-05,znak1.jpg,3728,rucno_dodat_znak,True
218,clock,5.937664536759257e-05,znak1.jpg,3728,rucno_dodat_znak,True
219,bench,5.9272944781696424e-05,znak1.jpg,3728,rucno_dodat_znak,True
220,car,5.891578257433139e-05,znak1.jpg,3728,rucno_dodat_znak,True
221,traffic light,5.890139800612815e-05,znak1.jpg,3728,rucno_dodat_znak,True
222,bench,5.7177123380824924e-05,znak1.jpg,3728,rucno_dodat_znak,True
223,bicycle,5.713036080123857e-05,znak1.jpg,3728,rucno_dodat_znak,True
224,car,5.687812517862767e-05,znak1.jpg,3728,rucno_dodat_znak,True
225,potted plant,5.682846676791087e-05,znak1.jpg,3728,rucno_dodat_znak,True
226,bench,5.6584256526548415e-05,znak1.jpg,3728,rucno_dodat_znak,True
227,traffic light,5.5893822718644515e-05,znak1.jpg,3728,rucno_dodat_znak,True
228,potted plant,5.5465490731876343e-05,znak1.jpg,3728,rucno_dodat_znak,True
229,potted plant,5.535367745324038e-05,znak1.jpg,3728,rucno_dodat_znak,True
230,car,5.5282518587773666e-05,znak1.jpg,3728,rucno_dodat_znak,True
231,bird,5.512726784218103e-05,znak1.jpg,3728,rucno_dodat_znak,True
232,potted plant,5.506711022462696e-05,znak1.jpg,3728,rucno_dodat_znak,True
233,car,5.4770840506535023e-05,znak1.jpg,3728,rucno_dodat_znak,True
234,potted plant,5.468389281304553e-05,znak1.jpg,3728,rucno_dodat_znak,True
235,clock,5.452310142572969e-05,znak1.jpg,3728,rucno_dodat_znak,True
236,car,5.447829607874155e-05,znak1.jpg,3728,rucno_dodat_znak,True
237,car,5.350643186829984e-05,znak1.jpg,3728,rucno_dodat_znak,True
238,car,5.344314922695048e-05,znak1.jpg,3728,rucno_dodat_znak,True
239,truck,5.339908238966018e-05,znak1.jpg,3728,rucno_dodat_znak,True
240,person,5.337626862456091e-05,znak1.jpg,3728,rucno_dodat_znak,True
241,bicycle,5.29557146364823e-05,znak1.jpg,3728,rucno_dodat_znak,True
242,potted plant,5.2569190302165225e-05,znak1.jpg,3728,rucno_dodat_znak,True
243,potted plant,5.21114379807841e-05,znak1.jpg,3728,rucno_dodat_znak,True
244,traffic light,5.1949442422483116e-05,znak1.jpg,3728,rucno_dodat_znak,True
245,boat,5.1888888265239075e-05,znak1.jpg,3728,rucno_dodat_znak,True
246,clock,5.156819679541513e-05,znak1.jpg,3728,rucno_dodat_znak,True
247,potted plant,5.118286935612559e-05,znak1.jpg,3728,rucno_dodat_znak,True
248,potted plant,5.111234349897131e-05,znak1.jpg,3728,rucno_dodat_znak,True
249,traffic light,5.093707295600325e-05,znak1.jpg,3728,rucno_dodat_znak,True
250,potted plant,5.0887454563053325e-05,znak1.jpg,3728,rucno_dodat_znak,True
251,potted plant,5.058211536379531e-05,znak1.jpg,3728,rucno_dodat_znak,True
252,potted plant,5.0478371122153476e-05,znak1.jpg,3728,rucno_dodat_znak,True
253,traffic light,5.044516365160234e-05,znak1.jpg,3728,rucno_dodat_znak,True
254,traffic light,4.981277015758678e-05,znak1.jpg,3728,rucno_dodat_znak,True
255,potted plant,4.946031913277693e-05,znak1.jpg,3728,rucno_dodat_znak,True
256,potted plant,4.945757973473519e-05,znak1.jpg,3728,rucno_dodat_znak,True
257,traffic light,4.825444193556905e-05,znak1.jpg,3728,rucno_dodat_znak,True
258,car,4.7849091060925275e-05,znak1.jpg,3728,rucno_dodat_znak,True
259,bench,4.7438094043172896e-05,znak1.jpg,3728,rucno_dodat_znak,True
260,person,4.7302797611337155e-05,znak1.jpg,3728,rucno_dodat_znak,True
261,truck,4.730104046757333e-05,znak1.jpg,3728,rucno_dodat_znak,True
262,car,4.7248922783182934e-05,znak1.jpg,3728,rucno_dodat_znak,True
263,potted plant,4.712504232884385e-05,znak1.jpg,3728,rucno_dodat_znak,True
264,car,4.697872282122262e-05,znak1.jpg,3728,rucno_dodat_znak,True
265,person,4.584961061482318e-05,znak1.jpg,3728,rucno_dodat_znak,True
266,person,4.571566023514606e-05,znak1.jpg,3728,rucno_dodat_znak,True
267,car,4.5601933379657567e-05,znak1.jpg,3728,rucno_dodat_znak,True
268,person,4.5305921958060935e-05,znak1.jpg,3728,rucno_dodat_znak,True
269,bench,4.442640420165844e-05,znak1.jpg,3728,rucno_dodat_znak,True
270,car,4.441382043296471e-05,znak1.jpg,3728,rucno_dodat_znak,True
271,car,4.423173231771216e-05,znak1.jpg,3728,rucno_dodat_znak,True
272,traffic light,4.358843216323294e-05,znak1.jpg,3728,rucno_dodat_znak,True
273,potted plant,4.3193223973503336e-05,znak1.jpg,3728,rucno_dodat_znak,True
274,traffic light,4.2710715206339955e-05,znak1.jpg,3728,rucno_dodat_znak,True
275,traffic light,4.236094173393212e-05,znak1.jpg,3728,rucno_dodat_znak,True
276,car,4.2204086639685556e-05,znak1.jpg,3728,rucno_dodat_znak,True
277,bicycle,4.1357201553182676e-05,znak1.jpg,3728,rucno_dodat_znak,True
278,potted plant,4.128095315536484e-05,znak1.jpg,3728,rucno_dodat_znak,True
279,potted plant,4.1218841943191364e-05,znak1.jpg,3728,rucno_dodat_znak,True
280,traffic light,4.0835540858097374e-05,znak1.jpg,3728,rucno_dodat_znak,True
281,potted plant,4.075842662132345e-05,znak1.jpg,3728,rucno_dodat_znak,True
282,bicycle,4.0520237234886736e-05,znak1.jpg,3728,rucno_dodat_znak,True
283,bench,4.032703145639971e-05,znak1.jpg,3728,rucno_dodat_znak,True
284,bench,4.015817467006855e-05,znak1.jpg,3728,rucno_dodat_znak,True
285,traffic light,3.9724753150949255e-05,znak1.jpg,3728,rucno_dodat_znak,True
286,boat,3.940476744901389e-05,znak1.jpg,3728,rucno_dodat_znak,True
287,truck,3.939364614780061e-05,znak1.jpg,3728,rucno_dodat_znak,True
288,person,3.934993947041221e-05,znak1.jpg,3728,rucno_dodat_znak,True
289,car,3.918001675629057e-05,znak1.jpg,3728,rucno_dodat_znak,True
290,boat,3.917908179573715e-05,znak1.jpg,3728,rucno_dodat_znak,True
291,bicycle,3.9094287785701454e-05,znak1.jpg,3728,rucno_dodat_znak,True
292,traffic light,3.9028913306538016e-05,znak1.jpg,3728,rucno_dodat_znak,True
293,potted plant,3.884040779666975e-05,znak1.jpg,3728,rucno_dodat_znak,True
294,truck,3.8605696317972615e-05,znak1.jpg,3728,rucno_dodat_znak,True
295,airplane,3.8347559893736616e-05,znak1.jpg,3728,rucno_dodat_znak,True
296,boat,3.808011388173327e-05,znak1.jpg,3728,rucno_dodat_znak,True
297,parking meter,3.7766167224617675e-05,znak1.jpg,3728,rucno_dodat_znak,True
298,car,3.7386507756309584e-05,znak1.jpg,3728,rucno_dodat_znak,True
299,potted plant,3.736251892405562e-05,znak1.jpg,3728,rucno_dodat_znak,True
300,parking meter,3.735503923962824e-05,znak1.jpg,3728,rucno_dodat_znak,True
301,traffic light,3.714038757607341e-05,znak1.jpg,3728,rucno_dodat_znak,True
302,traffic light,3.6852772609563544e-05,znak1.jpg,3728,rucno_dodat_znak,True
303,person,3.6798832297790796e-05,znak1.jpg,3728,rucno_dodat_znak,True
304,person,3.655926411738619e-05,znak1.jpg,3728,rucno_dodat_znak,True
305,person,3.6553930840454996e-05,znak1.jpg,3728,rucno_dodat_znak,True
306,boat,3.637467307271436e-05,znak1.jpg,3728,rucno_dodat_znak,True
307,car,3.6201367038302124e-05,znak1.jpg,3728,rucno_dodat_znak,True
308,clock,3.586191451177001e-05,znak1.jpg,3728,rucno_dodat_znak,True
309,traffic light,3.5630859201774e-05,znak1.jpg,3728,rucno_dodat_znak,True
310,car,3.560436744010076e-05,znak1.jpg,3728,rucno_dodat_znak,True
311,bench,3.5560591641115025e-05,znak1.jpg,3728,rucno_dodat_znak,True
312,bench,3.554696377250366e-05,znak1.jpg,3728,rucno_dodat_znak,True
313,bench,3.539322278811596e-05,znak1.jpg,3728,rucno_dodat_znak,True
314,traffic light,3.536670556059107e-05,znak1.jpg,3728,rucno_dodat_znak,True
315,potted plant,3.52659699274227e-05,znak1.jpg,3728,rucno_dodat_znak,True
316,potted plant,3.513069896143861e-05,znak1.jpg,3728,rucno_dodat_znak,True
317,person,0.060318175703287125,znak1.jpg,3728,rucno_dodat_znak,True
318,person,0.7665987610816956,znak.jpg,3728,rucno_dodat_znak,True
319,stop sign,0.7090008854866028,znak.jpg,3728,rucno_dodat_znak,True
320,stop sign,0.10984974354505539,znak3.jpg,3728,rucno_dodat_znak,True
321,III-85-2,0.06048332899808884,znak.jpg,3728,rucno_dodat_znak,True
322,II-30-40,0.13703446090221405,znak1.jpg,3728,rucno_dodat_znak,True
323,III-47,0.07780771702528,znak1.jpg,3728,rucno_dodat_znak,True
324,II-7.1,0.05633610486984253,znak1.jpg,3728,rucno_dodat_znak,True
325,stop,0.94,test_1.jpg,3729,stop,True
326,ogranicenje_brzine,0.88,test_2.jpg,3730,ogranicenje_brzine,True
327,pesacki_prelaz,0.76,test_3.jpg,3731,pesacki_prelaz,True
328,zabrana_parkiranja,0.61,test_4.jpg,3732,zabrana_parkiranja,True
329,obavezan_smer,0.83,test_5.jpg,3733,obavezan_smer,True
