id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
609,Nepoznata ulica,service,30,0.1178989641067509
608,Nepoznata ulica,unclassified,50,0.02330665647746607
610,Nepoznata ulica,residential,0,0.023039658826159624
3142,Nepoznata ulica,service,30,0.035109076769814805
3101,Nepoznata ulica,residential,0,0.01945092291464922
3133,Nepoznata ulica,residential,0,0.0546154033575697
3134,Буковачки пут,tertiary,30,0.05058963116579651
3135,Nepoznata ulica,service,0,0.060391641516103406
3136,Nepoznata ulica,residential,0,0.21861484062084308
3137,Буковачки пут,tertiary,0,0.07881206770783976
3138,Буковачки до,residential,0,0.6324835304573682
3141,Буковачки пут,tertiary,0,0.2055784173715108
3157,Nepoznata ulica,service,0,0.03340008268556705
3158,Nepoznata ulica,service,0,0.0034392284023741894
607,Nepoznata ulica,residential,0,0.323512005881526
611,Nepoznata ulica,unclassified,30,0.021453536372389514
612,Nepoznata ulica,residential,0,0.02242702657466026
613,Nepoznata ulica,residential,0,0.30778130446187774
614,Nepoznata ulica,residential,30,0.0905171585685855
615,Nepoznata ulica,service,30,0.13623748678385675
616,Nepoznata ulica,residential,0,0.16082523954676506
622,Nepoznata ulica,residential,0,0.02178189316583663
3143,Nepoznata ulica,service,30,0.06560590437486644
3144,Nepoznata ulica,service,30,0.25288695781526793
3113,Nepoznata ulica,residential,0,0.025821271584968775
3126,Nepoznata ulica,service,0,0.130991302966974
3128,Рачког,primary,0,0.21887785195370957
3130,Nepoznata ulica,service,0,0.030579151413573556
3131,Nepoznata ulica,service,0,0.1457435211332986
3132,Nepoznata ulica,service,0,0.0833753258583366
3139,Буковачки до,residential,0,0.10552083639066474
3140,Буковачки до,residential,0,0.3760903281525991
3146,Nepoznata ulica,residential,0,0.08816867115003957
3147,Карагача,residential,0,0.4577851974172143
3145,Nepoznata ulica,service,0,0.03837634418319547
625,Nepoznata ulica,service,30,0.10385630989392546
623,Nepoznata ulica,residential,0,0.021973220054387687
624,Nepoznata ulica,residential,0,0.020833703006247872
626,Nepoznata ulica,residential,0,0.020344756800693562
628,Nepoznata ulica,residential,0,0.047736243176261094
636,Nepoznata ulica,residential,0,0.09014863744410226
3148,Nepoznata ulica,residential,0,0.49804106696729034
642,Nepoznata ulica,residential,0,0.27745185737952754
643,Nepoznata ulica,residential,0,0.06617399436996176
3156,Nepoznata ulica,service,0,0.04058147541442682
3149,Nepoznata ulica,residential,0,0.3125466179907476
3150,Рачког,primary,0,0.34350276047296385
3163,Nepoznata ulica,service,0,0.09103230139044614
3160,Nepoznata ulica,service,0,0.027590761697410093
3164,Nepoznata ulica,service,0,0.011999702910667693
3165,Nepoznata ulica,service,0,0.027095187013295073
3166,Nepoznata ulica,service,0,0.030178832990211638
3167,Мишелук 3,service,0,0.13890455305466853
3168,Nepoznata ulica,service,0,0.012666718131412099
3268,Фехера Калмана,residential,0,0.19966658551125377
3269,Nepoznata ulica,residential,0,0.32886622443452707
3270,Nepoznata ulica,service,0,0.011365371832041135
3291,Nepoznata ulica,residential,0,0.3134962465788242
3296,Nepoznata ulica,residential,0,0.06917033917606628
3297,Nepoznata ulica,residential,0,0.02397261641871583
3298,Nepoznata ulica,residential,0,0.09014599135696849
7510,Nepoznata ulica,residential,0,0.26244636585800113
7511,Nepoznata ulica,residential,0,0.14910395918339264
7544,Nepoznata ulica,residential,0,0.09014473815856244
3169,Nepoznata ulica,service,0,0.03698839266304321
